PERIOD,DECLARANT,AT,BE,BG,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK,UK
2007-03,DE,"5.554,62","3.361,84",:,:,"322,47",:,"3.239,50","345,75",:,:,"56.417,54","11.948,41","32,83","47.950,60","2.723,91","1.360,57","1,04","2.512,84",:,:,"2.517,48","1.889,28",:,"17,58","6.266,22",:,"24,68","9.351,60"
2007-03,DK,"12,46","80,07",:,"183,66",:,"4.903,40",:,:,:,:,"4.707,42","226,41",:,"7.182,96","0,61",:,"744,81","247,53","199,59",:,"154,93",:,"38,52",:,"10.295,09",:,:,"4.347,38"
2007-03,EE,:,:,:,"75,06","157,19","310,87",:,:,:,:,"2.465,82","9,85",:,"434,57",:,:,"62,39","5,29","1.568,38",:,"690,92",:,:,:,"1.084,42",:,:,"42,98"
2007-03,EL,"16.973,76",:,:,"145,19","1,80","8.416,87","368,70",:,:,"919,00","12.690,15","279,96",:,"6,75",:,"18,87",:,:,:,:,"31,94",:,:,:,"0,92",:,:,"116,97"
2007-03,ES,"89,98","13,93",:,:,"217,35","46.469,99","267,48",:,:,:,"15.795,39","6.857,47",:,"22.064,28","452,71","3.021,78",:,"455,60",:,:,"22.884,68",:,"2.485,13",:,"221,78",:,"228,02","8.285,26"
2007-03,FI,"1.621,79",:,:,:,:,"1.572,55","50,36","29,76",:,:,:,"5,80",:,"3.050,50",:,"0,69",:,:,:,:,"0,92",:,:,:,"2.142,45",:,:,"671,48"
2007-03,FR,"51,15","317,42","0,33","0,14","148,41","16.002,41","3.032,79",:,"1,83","1.219,53","8.626,66",:,:,"679,07","62,50","9.970,73","0,33","919,93",:,:,"50.564,92","1,28","249,59",:,"823,87","3,05","0,49","11.164,94"
2007-03,HR,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
2007-03,HU,"4.091,36",:,:,:,"335,07","3.919,41","6,76","2,01",:,"0,30","89,30","1.692,65","75,97",:,"21,66","3,23",:,:,"3,46",:,"179,39","411,05","723,55","28,82","4.188,35",:,"51,76","0,75"
2007-03,IE,:,"12,69",:,:,"15,49","13.276,87",:,:,:,:,"1.924,42","1,09",:,"10.808,10",:,"33,78",:,"26,65",:,:,"1.074,54",:,:,:,:,:,:,"2.888,54"
2007-03,IT,"734,73","183,39",:,"23,87",:,"37.721,79","3.910,07",:,:,"6,26","24.348,18","5.671,70",:,"6.000,58","51,32",:,:,"339,08",:,:,"9.899,54","39,16","361,50","52,68","2,67","167,06",:,"2.460,69"
2007-03,LT,"1.208,61",:,:,:,:,"1.608,28","7,00","2,01",:,:,"4.858,16","59,12",:,:,:,:,:,:,"11,31",:,"26,76","10,42",:,:,"2.451,25",:,:,"997,65"
2007-03,LU,"5,73","3.658,25","22,82",:,:,"4.436,54","15,70",:,:,:,:,"900,64",:,"0,31",:,"3.003,08",:,:,:,:,"1.732,30",:,"182,43",:,:,:,:,"125,17"
2007-03,LV,"659,97",:,:,:,"81,99","2.024,32","14,67","1.972,71",:,:,"1.587,93","10,62",:,:,:,:,"1.057,87",:,:,:,"82,17","102,44",:,:,"1.546,34",:,:,"102,28"
2007-03,MT,:,:,:,:,:,"1,72",:,:,:,"4,96","79,75","36,43",:,:,"0,52","40,94",:,:,:,:,:,:,:,:,:,:,:,"9,62"
2007-03,NL,"185,96","6.237,07",:,"657,64","7,12","9.973,81","1.130,90",:,"3,48","143,17","13.209,23","2.989,81",:,"8.953,21","29,24","2.201,06","0,93","357,44","0,70","2,62",:,"553,55","423,22","1,37","5.444,90","4,13","2,39","2.350,44"
2007-03,PL,"6.702,63","0,06",:,:,"899,59","18.097,78","32,25","0,64",:,"11,42","6.345,13","2.779,37",:,"14.823,90",:,"6,53",:,"5,79",:,:,"58,75",:,"8,74",:,"13.893,26",:,:,"151,70"
2007-03,PT,"8.362,87","0,58",:,:,"66,50","1.065,90","429,54",:,:,"6.449,31","4.762,00","1.383,07",:,"0,50",:,"149,89","0,79","9,04",:,:,"3.719,09",:,:,:,"708,34",:,:,"583,76"
2007-03,RO,"3.154,54",:,"1,61","29,38","3,63","5.598,23","3,45",:,"9,27","16,07","5.532,18","930,36",:,"10.479,72",:,:,:,"90,56",:,:,"1,01","1,09",:,:,"800,60",:,"2,73","664,93"
