PERIOD,PARTNER,AT,BE,BG,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK,UK
2007-04,HR,:,:,:,:,:,"1.941,58","7,97",:,:,:,"654,00","274,41",:,"849,41",:,:,:,:,:,:,"1,52",:,:,:,"0,38",:,:,"58,96"
2007-04,HU,:,"1,31","2,43",:,"330,55","7.059,83","96,69",:,"24,95","21,51","1.549,99","1.846,89",:,:,:,"382,75",:,"48,58",:,:,"98,81",:,"20,32","86,78","0,07",:,"0,05","96,59"
2007-04,IE,:,"0,34",:,:,:,"5.639,14","2,49",:,:,:,"4.901,48","92,31",:,"6.051,15",:,:,:,"32,95",:,:,"2.295,07",:,:,:,"0,01",:,:,"3.964,44"
2007-04,IT,:,"15,68",:,:,"2.278,66","18.497,53","4.350,62",:,:,"517,39","14.965,90","22.040,19",:,"10.838,11","264,97",:,:,"1.759,89",:,"5,45","9.269,33","0,18","170,52",:,"35,52","11,19",:,"3.509,30"
2007-04,LT,:,:,:,:,"53,26","1.815,77",:,"28,36",:,"22,55","2.637,36","11,56",:,"1.404,00",:,:,:,"24,45","377,46",:,"48,00","42,98","6,05",:,"693,01",:,:,"260,38"
2007-04,LU,:,"1.458,36",:,:,:,"1.811,90","36,62",:,:,:,"40,93","3.920,55",:,"48,18",:,"430,31",:,:,:,:,"3.205,17",:,"88,21",:,"86,18",:,:,"230,79"
2007-04,LV,:,"0,30",:,:,"151,89","1.504,29","6,44","1.952,57",:,:,"942,42","4,99",:,"574,84",:,:,"1.459,54","7,75",:,:,"25,50",:,:,:,"895,71",:,:,"224,85"
2007-04,MT,:,:,:,:,:,"192,82","2,82",:,:,:,:,:,:,"39,10",:,"0,18",:,:,:,:,"1,36",:,:,:,:,:,:,"2,19"
2007-04,NL,:,"2.513,13",:,:,"210,09","5.692,75","2.405,27",:,"3,20","151,24","13.872,40","4.409,58",:,"6.623,30","260,77","148,20",:,"2.174,72",:,:,:,"9,32","9,17","20,10","6,11","3,70","4,35","1.898,92"
2007-04,PL,:,"0,23",:,:,"1.139,02","14.445,93","350,77",:,"522,08","746,30","7.769,45","3.379,24",:,"16.144,00","5,48","0,02",:,"49,55",:,:,"18,86",:,:,"0,42","1,22",:,"283,32","328,15"
2007-04,PT,:,:,:,:,"38,42","6.573,91","2.622,32",:,:,"40,35","4.089,96","3.189,70",:,"7.887,11",:,"1,84",:,"18,99",:,:,"4.467,76",:,:,:,"1,11",:,:,"110,34"
2007-04,RO,:,"283,15","137,64",:,"84,07","14.827,78","126,87",:,"1,90","28,85","3.957,81","1.330,24",:,"4.437,07",:,"572,22",:,"69,23",:,:,"88,68","0,45","9,96",:,:,:,:,"80,55"
