PERIOD,DECLARANT,Andorra,Belgien,Ceuta,Deutschland,Dänemark,Estland,Finnland,Frankreich,Färoer,Gibraltar,Griechenland,Heiliger Stuhl (Vatikanstadt),Irland,Island,Italien,Lettland,Liechtenstein,Litauen,Luxemburg,Malta,Melilla,Niederlande,Norwegen,Osterreich,Polen,Portugal,San Marino,Schweden,Schweiz,Spanien,Türkei,Vereinigtes Königreich
2012-04,Finnland,:,"1,30",:,"2.012,18","28,70","630,86",:,"27,27",:,:,:,:,"7.731,64",:,:,:,:,"0,61",:,:,:,"2.596,98","0,40","13,00","66,40",:,:,"6.599,67",:,"40,97",:,"87,30"
2012-04,Frankreich,:,"376,24",:,"6.581,50","331,23",:,"2.342,35",:,:,:,"5,78",:,"8,85",:,"232,56","115,01",:,:,"43.246,05",:,:,"62.508,03","0,82","46,96","12,41","91,65",:,"4.929,19","223,86","35,40","2,83","12.754,91"
2012-04,Griechenland,:,:,:,"3.562,31",:,:,"1.417,38","312,91",:,:,:,:,:,:,"55,67",:,:,:,"4.391,10",:,:,"208,60",:,"3.456,66","0,09",:,:,:,:,"37,49",:,"389,33"
2012-04,Irland,:,:,:,"5.611,73",:,:,"989,22","87,23",:,:,:,:,:,"0,10",:,:,:,:,"2.129,85",:,:,"1.167,07",:,"96,60",:,:,:,:,:,:,:,"13.728,73"
2012-04,Italien,:,"179,29",:,"36.598,45","25,68",:,"4.307,85","971,28",:,:,:,:,"1,67",:,:,"3,94",:,"517,42","30.016,65",:,:,"6.973,30",:,"31,71","646,80","12,60",:,"59,15","2,08","44,55",:,"3.623,33"
2012-04,Kroatia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
2012-04,Lettland,:,:,:,"733,00",:,"21,72","574,90",:,:,:,:,:,"424,92",:,"10,86",:,:,"1.280,97",:,:,:,:,:,"6,69","133,81",:,:,"198,09",:,:,:,"239,62"
2012-04,Litauen,:,:,:,"1.378,60","25,40","364,81","1.638,43","0,31",:,:,:,:,"465,50",:,"17,23","4.108,32",:,:,:,:,:,"10,20","93,72",:,"341,41",:,:,"439,47",:,:,:,"597,08"
2012-04,Luxemburg,:,"1.939,31",:,"621,45",:,:,:,"56,40",:,:,:,:,:,:,"48,60",:,:,:,:,:,:,"5.029,61",:,"9,51","187,72","16,94",:,:,"0,04",:,:,"109,61"
2012-04,Malta,:,:,:,"68,58",:,:,:,:,:,:,:,:,:,:,"187,58",:,:,:,:,:,:,"85,71",:,"5,25",:,:,:,:,:,:,:,"190,61"
2012-04,Niederlande,:,"2.346,76",:,"1.558,36","128,42",:,"493,48","1.004,36",:,:,"67,20",:,"45.496,79","82,93","42,08",:,:,"0,09",:,"0,04",:,:,"564,07","463,24","54,44","0,03",:,"1.158,97","736,40","15,73","1,93","5.495,44"
2012-04,Oesterreich,:,:,:,"4.455,45","3,46",:,"355,51",:,:,:,:,:,"4.905,97","0,07","433,37",:,:,"97,34",:,:,:,"7.097,09",:,:,"3.714,24",:,:,"330,42","101,83",:,:,"574,37"
2012-04,Polen,:,"0,07",:,"12.616,46","29,28","49,78","15.045,48","116,76",:,:,:,:,:,:,"1.159,99","149,35",:,:,"1.758,36",:,:,"1.055,93",:,"17.042,52",:,:,:,"39,07",:,"8,57","0,37","642,63"
2012-04,Portugal,:,:,:,"77,61",:,:,"338,13","158,69",:,:,:,:,"5.323,32",:,"418,26",:,:,:,"201,00",:,:,"3.553,26",:,:,:,:,:,"795,49","0,52","105,68",:,"1.157,94"
2012-04,Rumanien,:,"1,30",:,"7.174,91",:,:,"1.134,90",:,:,:,"4,99",:,"2,65",:,"3,21","21,73",:,:,"674,56",:,:,"3.111,95",:,"1.484,72","41,45","14,19",:,"108,22",:,"26,18",:,"134,05"
2012-04,Schweden,:,:,:,"583,00","2.149,91",:,"3.313,65","235,32",:,"0,36",:,:,"6.352,61",:,:,:,:,"0,17",:,:,:,"61.565,24","1.416,48","56,40","517,37",:,:,:,"261,70",:,"0,08","2.305,63"
2012-04,Slowakei,:,:,:,"3.254,92","94,61",:,"21.781,11","22,90",:,:,:,:,"1.242,00",:,"0,08",:,:,"513,48",:,:,:,"1.473,60",:,"138.527,91","585,67",:,:,"1.123,74",:,"376,51",:,"1.894,90"
2012-04,Slowenien,:,:,:,"750,85",:,:,"499,03","324,09",:,:,:,:,"0,39",:,"0,24",:,:,:,:,:,:,"1.375,18","0,20","3.367,68","1,69",:,:,"265,29",:,:,:,:
2012-04,Spanien,"0,19","0,29","5,25","773,19","1,51",:,"86,63","2.298,25",:,:,"35,77",:,"18.080,87",:,"12.363,50","80,18",:,:,"1.273,02",:,"11,31","36.499,78","0,57","8,15","242,07","931,74",:,"17,40","30,02",:,"87,40","24.422,67"
